141/250 [===============>..............] - ETA: 22s - loss: 0.0190 - accuracy: 0.9929
142/250 [================>.............] - ETA: 21s - loss: 0.0189 - accuracy: 0.9930
143/250 [================>.............] - ETA: 21s - loss: 0.0188 - accuracy: 0.9930
144/250 [================>.............] - ETA: 21s - loss: 0.0186 - accuracy: 0.9931
145/250 [================>.............] - ETA: 21s - loss: 0.0185 - accuracy: 0.9931
146/250 [================>.............] - ETA: 21s - loss: 0.0184 - accuracy: 0.9932
147/250 [================>.............] - ETA: 20s - loss: 0.0183 - accuracy: 0.9932
148/250 [================>.............] - ETA: 20s - loss: 0.0181 - accuracy: 0.9932
149/250 [================>.............] - ETA: 20s - loss: 0.0180 - accuracy: 0.9933
150/250 [=================>............] - ETA: 20s - loss: 0.0179 - accuracy: 0.9933
151/250 [=================>............] - ETA: 20s - loss: 0.0178 - accuracy: 0.9934
152/250 [=================>............] - ETA: 19s - loss: 0.0177 - accuracy: 0.9934
153/250 [=================>............] - ETA: 19s - loss: 0.0175 - accuracy: 0.9935
154/250 [=================>............] - ETA: 19s - loss: 0.0174 - accuracy: 0.9935
155/250 [=================>............] - ETA: 19s - loss: 0.0173 - accuracy: 0.9935
156/250 [=================>............] - ETA: 19s - loss: 0.0172 - accuracy: 0.9936
157/250 [=================>............] - ETA: 18s - loss: 0.0171 - accuracy: 0.9936
158/250 [=================>............] - ETA: 18s - loss: 0.0170 - accuracy: 0.9937
159/250 [==================>...........] - ETA: 18s - loss: 0.0169 - accuracy: 0.9937
160/250 [==================>...........] - ETA: 18s - loss: 0.0168 - accuracy: 0.9937
161/250 [==================>...........] - ETA: 18s - loss: 0.0167 - accuracy: 0.9938
162/250 [==================>...........] - ETA: 17s - loss: 0.0166 - accuracy: 0.9938
163/250 [==================>...........] - ETA: 17s - loss: 0.0165 - accuracy: 0.9939
164/250 [==================>...........] - ETA: 17s - loss: 0.0164 - accuracy: 0.9939
165/250 [==================>...........] - ETA: 17s - loss: 0.0163 - accuracy: 0.9939
166/250 [==================>...........] - ETA: 17s - loss: 0.0162 - accuracy: 0.9940
167/250 [===================>..........] - ETA: 16s - loss: 0.0161 - accuracy: 0.9940
168/250 [===================>..........] - ETA: 16s - loss: 0.0160 - accuracy: 0.9940
169/250 [===================>..........] - ETA: 16s - loss: 0.0159 - accuracy: 0.9941
170/250 [===================>..........] - ETA: 16s - loss: 0.0158 - accuracy: 0.9941
171/250 [===================>..........] - ETA: 16s - loss: 0.0157 - accuracy: 0.9942
172/250 [===================>..........] - ETA: 15s - loss: 0.0156 - accuracy: 0.9942
173/250 [===================>..........] - ETA: 15s - loss: 0.0155 - accuracy: 0.9942
174/250 [===================>..........] - ETA: 15s - loss: 0.0154 - accuracy: 0.9943
175/250 [====================>.........] - ETA: 15s - loss: 0.0153 - accuracy: 0.9943
176/250 [====================>.........] - ETA: 15s - loss: 0.0153 - accuracy: 0.9943
177/250 [====================>.........] - ETA: 14s - loss: 0.0152 - accuracy: 0.9944
178/250 [====================>.........] - ETA: 14s - loss: 0.0151 - accuracy: 0.9944
179/250 [====================>.........] - ETA: 14s - loss: 0.0150 - accuracy: 0.9944
180/250 [====================>.........] - ETA: 14s - loss: 0.0149 - accuracy: 0.9944
181/250 [====================>.........] - ETA: 14s - loss: 0.0148 - accuracy: 0.9945
182/250 [====================>.........] - ETA: 13s - loss: 0.0147 - accuracy: 0.9945
183/250 [====================>.........] - ETA: 13s - loss: 0.0147 - accuracy: 0.9945
184/250 [=====================>........] - ETA: 13s - loss: 0.0146 - accuracy: 0.9946
185/250 [=====================>........] - ETA: 13s - loss: 0.0145 - accuracy: 0.9946
186/250 [=====================>........] - ETA: 13s - loss: 0.0144 - accuracy: 0.9946
187/250 [=====================>........] - ETA: 12s - loss: 0.0144 - accuracy: 0.9947
188/250 [=====================>........] - ETA: 12s - loss: 0.0143 - accuracy: 0.9947
189/250 [=====================>........] - ETA: 12s - loss: 0.0142 - accuracy: 0.9947
190/250 [=====================>........] - ETA: 12s - loss: 0.0141 - accuracy: 0.9947
191/250 [=====================>........] - ETA: 12s - loss: 0.0141 - accuracy: 0.9948
192/250 [======================>.......] - ETA: 11s - loss: 0.0140 - accuracy: 0.9948
193/250 [======================>.......] - ETA: 11s - loss: 0.0139 - accuracy: 0.9948
194/250 [======================>.......] - ETA: 11s - loss: 0.0138 - accuracy: 0.9948
195/250 [======================>.......] - ETA: 11s - loss: 0.0138 - accuracy: 0.9949
196/250 [======================>.......] - ETA: 10s - loss: 0.0137 - accuracy: 0.9949
197/250 [======================>.......] - ETA: 10s - loss: 0.0136 - accuracy: 0.9949
198/250 [======================>.......] - ETA: 10s - loss: 0.0136 - accuracy: 0.9949
199/250 [======================>.......] - ETA: 10s - loss: 0.0135 - accuracy: 0.9950
200/250 [=======================>......] - ETA: 10s - loss: 0.0134 - accuracy: 0.9950
201/250 [=======================>......] - ETA: 9s - loss: 0.0134 - accuracy: 0.9950 
202/250 [=======================>......] - ETA: 9s - loss: 0.0133 - accuracy: 0.9950
203/250 [=======================>......] - ETA: 9s - loss: 0.0132 - accuracy: 0.9951
204/250 [=======================>......] - ETA: 9s - loss: 0.0132 - accuracy: 0.9951
205/250 [=======================>......] - ETA: 9s - loss: 0.0131 - accuracy: 0.9951
206/250 [=======================>......] - ETA: 8s - loss: 0.0130 - accuracy: 0.9951
207/250 [=======================>......] - ETA: 8s - loss: 0.0130 - accuracy: 0.9952
208/250 [=======================>......] - ETA: 8s - loss: 0.0129 - accuracy: 0.9952
209/250 [========================>.....] - ETA: 8s - loss: 0.0128 - accuracy: 0.9952
210/250 [========================>.....] - ETA: 8s - loss: 0.0128 - accuracy: 0.9952
211/250 [========================>.....] - ETA: 7s - loss: 0.0127 - accuracy: 0.9953
212/250 [========================>.....] - ETA: 7s - loss: 0.0127 - accuracy: 0.9953
213/250 [========================>.....] - ETA: 7s - loss: 0.0126 - accuracy: 0.9953
214/250 [========================>.....] - ETA: 7s - loss: 0.0125 - accuracy: 0.9953
215/250 [========================>.....] - ETA: 7s - loss: 0.0125 - accuracy: 0.9953
216/250 [========================>.....] - ETA: 6s - loss: 0.0124 - accuracy: 0.9954
217/250 [=========================>....] - ETA: 6s - loss: 0.0124 - accuracy: 0.9954
218/250 [=========================>....] - ETA: 6s - loss: 0.0123 - accuracy: 0.9954
219/250 [=========================>....] - ETA: 6s - loss: 0.0123 - accuracy: 0.9954
220/250 [=========================>....] - ETA: 6s - loss: 0.0122 - accuracy: 0.9955
221/250 [=========================>....] - ETA: 5s - loss: 0.0121 - accuracy: 0.9955
222/250 [=========================>....] - ETA: 5s - loss: 0.0121 - accuracy: 0.9955
223/250 [=========================>....] - ETA: 5s - loss: 0.0120 - accuracy: 0.9955
224/250 [=========================>....] - ETA: 5s - loss: 0.0120 - accuracy: 0.9955
225/250 [==========================>...] - ETA: 5s - loss: 0.0119 - accuracy: 0.9956
226/250 [==========================>...] - ETA: 4s - loss: 0.0119 - accuracy: 0.9956
227/250 [==========================>...] - ETA: 4s - loss: 0.0118 - accuracy: 0.9956
